Horário,Crianças,Adultos,Voluntários,Obreiro Responsável,Descrição das atividades
9h30 →11h,Exposição,Palestra 1,"Ana, André, Fernanda e Carol",Nicole,"Louvor, história, atividade

PARTE 1 - A família e os sonhos de José (Gênesis 37)
• Contexto da sua família (Jacó, Raquel, Lia)
• José e os seus irmãos
• José e os seus sonhos"
11h → 12h30,Gincana,Palestra 2,"Blenda, Esther, Aline, Michael, Kenji",Pang,"1. Andar no lugar e sem sair do lugar
2. Passar a farinha com a carta na boca
3. Telefone sem fio de mímica ou desenho
4. Fazer torre de copos com fios
5. Meia calça e soprar a vela
6. Teia humana"
